text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,statusSource,screenName,retweetCount,isRetweet,retweeted
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,11/23/2016 18:33,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rss_chaddi_waLL,66,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:32,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mrx565,20,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:32,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PontiFukEx,20,True,False
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,11/23/2016 18:31,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BoscoUnchained,66,True,False
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",False,0,,11/23/2016 18:31,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",trollabhakt,6,True,False
RT @mayankjain100: #demonetization is Communal and Black Money is Secular...,False,0,,11/23/2016 18:30,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GHOSTBUSTOR,1,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:27,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kvQuote,20,True,False
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",False,0,,11/23/2016 18:26,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CineMaakiKasam,95,True,False
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,False,0,,11/23/2016 18:26,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RN_BJP,41,True,False
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",False,0,,11/23/2016 18:25,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",prateek1013,76,True,False
"#DeMonetization Effect : Visa, Master Card, Amex all Accepted :) https://t.co/ozDwcPKjaI",False,0,,11/23/2016 18:25,False,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",zailetblog,0,False,False
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",False,0,,11/23/2016 18:24,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kmvatreni1,59,True,False
RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv…,False,0,,11/23/2016 18:24,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",neelmani1980,4,True,False
RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?…,False,0,,11/23/2016 18:24,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JOYEEE990,1,True,False
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",False,0,,11/23/2016 18:24,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aakuraj,76,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:23,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ceradevcera,20,True,False
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",False,0,,11/23/2016 18:23,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",twety_swety,95,True,False
RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r…,False,0,,11/23/2016 18:22,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,29,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:22,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",monojsaha6,15,True,False
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",False,0,,11/23/2016 18:22,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,30,True,False
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,False,0,,11/23/2016 18:21,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Minoritygender,120,True,False
"Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra… https://t.co/DuvbMtEi1Y",False,0,,11/23/2016 18:19,True,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sventure007,0,False,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/5J6jZXbY81,False,0,,11/23/2016 18:19,False,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",UnRealMohit,0,False,False
"RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…",False,0,,11/23/2016 18:19,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HRajshri,1868,True,False
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",False,0,,11/23/2016 18:17,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",manickam_sm,11,True,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,False,0,,11/23/2016 18:17,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VaidyaPriyam,30,True,False
"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m…",False,0,,11/23/2016 18:16,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",everG3,1,True,False
Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia… https://t.co/Axqd8FOwpK,False,0,,11/23/2016 18:16,True,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ganeshjoshibjp,0,False,False
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,False,0,,11/23/2016 18:16,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ssmalani,637,True,False
"People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",False,0,,11/23/2016 18:15,False,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Rohit_V,0,False,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:14,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",praveentiwari6,15,True,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vv9qtRqqSI,False,0,,11/23/2016 18:12,False,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Priyad_01,0,False,False
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,False,0,,11/23/2016 18:12,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChandokSumeet,2,True,False
"#demonetization 90 % of population is accepting it as country building measure, why these so called politicians opp… https://t.co/f91j6tZjZ2",False,0,,11/23/2016 18:11,True,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sanjeevkriocl,0,False,False
"15 days after #demonetization, country is still suffering 4m acute shortage of currency notes.
Big loss 2 economy
Share market tumbling
SOS",False,0,,11/23/2016 18:11,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SaubhagyaVarma,0,False,False
"RT @ashu3page: Man ends life over fund shortage ahead of daughter’s wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t…",False,0,,11/23/2016 18:11,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",khan96faiz,132,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:10,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnakhaRavindran,20,True,False
"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",False,0,,11/23/2016 18:10,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilapakurthi,406,True,False
"Very unfortunate... India slips due to #demonetization 
@BJP4India @PMOIndia @RanaAyyub @TruthOfGujarat @AnupamPkher
https://t.co/6QhcGyBpKw",False,0,,11/23/2016 18:10,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",razikararvi,0,False,False
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",False,0,,11/23/2016 18:10,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MdShuaib7,9,True,False
"RT @sitaramlamba: Cooperative banks shut down, sowing season completely disrupted, agri markets &amp; Farmers badly affected #demonetization",False,0,,11/23/2016 18:10,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Arshkhankhan1,22,True,False
RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament…,False,0,,11/23/2016 18:09,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",TeenaSingh882,1,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:09,False,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",rajdeepTwitting,15,True,False
"#Demonetization
https://t.co/0kq8BsJ1iS
When PM is in, opposition is out of parliament.",False,0,,11/23/2016 18:09,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AmereshSingh,0,False,False
RT @CMOMaharashtra: Watch what @sonunigam thinks about #demonetization .. https://t.co/vXt09c64zY,False,0,,11/23/2016 18:08,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",enzacdesccom191,428,True,False
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",False,0,,11/23/2016 18:08,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tauhid13,6,True,False
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,False,0,,11/23/2016 18:08,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",indianmonk1,41,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",False,0,,11/23/2016 18:08,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",indianmonk1,20,True,False
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,11/23/2016 18:07,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shubhamamdhare,66,True,False
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",False,0,,11/23/2016 18:07,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shobhanpounikar,19,True,False
Aam aadmi punished for sins of #blackmoney hoarders. SBI slashes  deposit rates by 1.9% #Demonetization #netascashin https://t.co/rqjsdiGvcG,False,0,,11/23/2016 18:06,False,,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>",anilrai,0,False,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,False,0,,11/23/2016 18:06,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aashish81us,30,True,False
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",False,0,,11/23/2016 18:05,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deeptiyvd,76,True,False
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,11/23/2016 18:05,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aawara_aatma,66,True,False
@DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabled 2000 rs was launched by #Modo 4 #demonetization <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@MonaAmbegaonkar,False,0,DeshhBhakt,11/23/2016 18:04,False,8.01445e+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhau_rokthok,0,False,False
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,False,0,,11/23/2016 18:04,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",centreofleft,66,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:03,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pavanpavs254,15,True,False
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",False,0,,11/23/2016 18:03,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thenirajpandey,59,True,False
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",False,0,,11/23/2016 18:03,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",barundebbarun,12,True,False
The opposition is getting troubled because all their #BlackMoney have become just a piece of paper due to #demonetization #<U+092C><U+0940><U+092E><U+093E><U+0930>_<U+0935><U+093F><U+092A><U+0915><U+094D><U+0937>,False,0,,11/23/2016 18:03,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AjayGrover29,0,False,False
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",False,0,,11/23/2016 18:02,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JoinAAP,9,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:02,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anil_tikar2,15,True,False
The effect of #DeMonetization has already shared by @narendramodi  #Action are more important than words… https://t.co/TbCC8S5ETc,False,0,ArvindKejriwal,11/23/2016 18:02,True,8.01308e+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SShettyy007,0,False,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:02,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",akash_8,15,True,False
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,False,0,,11/23/2016 18:02,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",san_selene,637,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 18:02,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pushpa_sahani,15,True,False
"RT @TheOfficialSBI: In view of  current situation, RTGS time  has been extended upto 6:30 PM till 24th November, 2016. #Demonetization http…",False,0,,11/23/2016 18:01,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilapakurthi,180,True,False
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",False,0,,11/23/2016 18:01,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pratimadesh,76,True,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,False,0,,11/23/2016 18:00,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shweta_ohri,30,True,False
"RT @YSRCParty: Days before #Demonetization announcement, @ncbn sold his Heritage shares,clearly evident that he had prior knowledge of the…",False,0,,11/23/2016 17:59,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RkKotha,33,True,False
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",False,0,,11/23/2016 17:59,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",YogenderWrites,12,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 17:58,False,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",HARESHUPADHYAY1,15,True,False
RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with we… https://t.co/oJrbCBYmH9,False,0,,11/23/2016 17:58,False,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",VihaanSingh20,0,False,False
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,False,0,,11/23/2016 17:57,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AmberRishi,45,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 17:57,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",ZeeNews,15,True,False
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",False,0,,11/23/2016 17:56,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rbr6000,95,True,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",False,0,,11/23/2016 17:56,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",unbrahmachari,15,True,False
#Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season… https://t.co/6QNe6KGqaO,False,40,,11/23/2016 17:56,True,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ZeeNewsSports,15,False,False
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,False,0,,11/23/2016 17:55,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AdMathura,331,True,False
"RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in......

#demonetization https://t.co/ixY1…",False,0,,11/23/2016 17:55,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_Hinduism_,22,True,False
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,False,0,,11/23/2016 17:55,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JaihindRayudu,41,True,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,False,0,,11/23/2016 17:54,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhaymishra09,30,True,False
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil…,False,0,,11/23/2016 17:54,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Himansh29466255,57,True,False
RT @ShashiTharoor: Joined the line of Opposition MPs demonstrating solidarity on #demonetization &amp;demanding that @PMOIndia address Parliame…,False,0,,11/23/2016 17:54,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Himansh29466255,71,True,False
RT @rishibagree: And they say #demonetization is failure https://t.co/WnjIUqIhdW,False,0,,11/23/2016 17:54,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sainath_kits,102,True,False
Modi acted against national interest. The way to cashless economy need not be #Demonetization. A badly planned move.,False,0,,11/23/2016 17:53,False,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",karunasanghvi,0,False,False
"RT @rishibagree: More than 700 Fish Vendors across Kolkata have started using e-wallets.
Before #demonetization this number was zero .. Thi…",False,0,,11/23/2016 17:53,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sainath_kits,947,True,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,False,0,,11/23/2016 17:53,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AtishhR,30,True,False
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",False,0,,11/23/2016 17:52,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aapkaTejuBhaiya,95,True,False
"RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda Kochar,ICIC MD and CEO #demonetization https://t…",False,0,,11/23/2016 17:52,False,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sainath_kits,421,True,False
